,revenue,reward_id,campaign_id,application_id
2014-07-26 20:50:11.846219,0.64,53d41483-3f96-1bee-229f-ff1f801adcae,5,0
2014-07-26 20:50:25.526073,0.149,53d41496-626d-aecb-db00-18ebac042e1b,4,3
2014-07-26 20:50:45.118525,0.899,53d414a5-cfa6-de66-9fdf-d6775b6f4ed5,25,1
2014-07-26 20:50:45.438292,0.149,53d414a5-a81d-30ce-59f6-a248c2fec170,4,0
2014-07-26 20:50:47.787702,0.699,53d414a7-badc-1f80-0f22-d67c19eeab7f,26,3
2014-07-26 20:50:59.384743,0.899,53d414b3-d39f-e5a1-51f0-7cb4bce0cc33,54,0
2014-07-26 20:51:22.823934,0.149,53d414ca-5764-1a15-70f8-3e1bd39d2586,4,3
2014-07-26 20:51:57.550994,0.64,53d414ed-7b24-42b7-9ccd-6af73020f454,47,0
2014-07-26 20:52:38.442804,0.699,53d41516-ba22-0de9-ae96-2b6e993d48a4,26,3
2014-07-26 20:53:26.098297,0.2,53d41546-bd5b-6748-dbda-575c1764e6e2,37,0
2014-07-26 20:53:28.374950,0.45,53d41548-43e9-62d7-1a23-16f59f369be1,65,3
2014-07-26 20:53:30.100951,0.2,53d4154a-b5fa-ff3f-c3b6-daf618b60fd7,37,0
2014-07-26 20:53:31.067198,0.699,53d4154b-4ebd-75ff-3c6c-c36fe9094b68,26,3
2014-07-26 20:53:39.170226,0.149,53d41553-30d4-1470-cf89-1898885430a9,4,3
2014-07-26 20:54:03.167807,0.149,53d4156b-22ec-253e-273a-802931e0a681,4,3
2014-07-26 20:54:33.593400,0.2,53d41589-5f9b-55d5-d68f-9399818465b3,37,3
2014-07-26 20:54:38.384809,0.899,53d4158e-a724-e9a6-5540-61fd2d3e5d07,25,0
2014-07-26 20:54:45.324860,0.899,53d41595-8939-8636-40cb-9f855ba1ee79,25,1
2014-07-26 20:54:46.744769,0.149,53d4159b-684c-d2fb-7a34-d059994cdb32,4,2
2014-07-26 20:55:10.985631,0.2,53d415af-f731-a444-faf4-2bdca074de7e,37,3
2014-07-26 20:55:22.414502,0.149,53d415ba-6298-8b11-6caa-c7d20b2f4cba,4,0
2014-07-26 20:55:57.075197,0.149,53d415dd-e917-d3fe-7436-18a07ccb341c,4,3
2014-07-26 20:56:00.361747,0.149,53d415e0-416e-ba2b-d3dc-9e89a67b1178,4,3
2014-07-26 20:57:23.052011,0.149,53d41633-4484-e63a-d8ac-ed1b31caeb1e,4,3
2014-07-26 20:57:28.324944,0.149,53d41638-1798-f719-b6fa-c91acea70ba2,4,0
2014-07-26 20:57:29.720996,0.149,53d41639-c11b-b49f-2f8f-a1a63abcd172,4,3
2014-07-26 20:59:32.178028,0.449,53d416b4-447d-0c0d-0d42-a6ece92738ab,9,0
2014-07-26 20:59:32.863345,0.149,53d416b4-e1e0-dfb1-4966-e221c26d8693,4,3
2014-07-26 20:59:58.936818,0.499,53d416ce-3c7b-420a-ab6f-46b677747c52,40,1
2014-07-26 21:00:10.082568,0.64,53d416df-3414-c00a-f055-ed3a21d02af2,47,3
2014-07-26 21:01:07.067179,0.149,53d41713-f4c4-8e13-9574-cd563e0b173f,4,3
2014-07-26 21:01:16.282823,0.255,53d4171c-e547-58c6-baec-abef98d66912,24,1
2014-07-26 21:01:16.979681,0.481,53d4171d-cf37-5e03-92e1-bf1cf7954de3,16,1
2014-07-26 21:01:55.856036,0.249,53d41743-66da-18e0-492a-7a2d8e102720,19,0
2014-07-26 21:01:58.867837,0.2,53d41746-ca0a-a955-f5ba-df1f21879433,37,3
2014-07-26 21:02:33.341751,0.2,53d41769-a455-0d8c-e86d-0c80b11e7cec,37,0
2014-07-26 21:02:42.519298,0.149,53d41772-a260-7a5f-27d3-9494a6453028,4,3
2014-07-26 21:02:42.697058,0.149,53d41772-9105-742e-4cea-c34dc750b721,4,3
2014-07-26 21:02:56.813906,0.376,53d41780-d470-327e-c420-396d3502fbcf,11,1
2014-07-26 21:03:45.360942,0.45,53d417b1-6555-3ccd-f1cc-7f6825e8436f,65,0
2014-07-26 21:04:02.705632,0.45,53d417c2-e311-354a-c1dc-ba69696a157b,48,1
2014-07-26 21:04:48.223059,0.149,53d417f0-c103-b4b3-9cf1-5e5b544b7939,4,2
